ES25 呼吸系统感染／炎症，年龄＞17岁，不伴并发症或合并症
LY19 肾及尿路损伤
LZ10 肾及泌尿系统其他疾患，年龄≤17岁
LZ11 肾及泌尿系统其他疾患，年龄＞17岁，伴严重并发症或合并症
LZ13 肾及泌尿系统其他疾患，年龄＞17岁，伴并发症或合并症
LZ15 肾及泌尿系统其他疾患，年龄＞17岁，不伴并发症或合并症
MA19 男性生殖器官恶性肿瘤手术
MB19 前列腺手术
MC19 阴茎手术
MD19 睾丸手术
MJ19 其他男性生殖系统手术
MR11 男性生殖系统恶性肿瘤，伴严重并发症或合并症
MR13 男性生殖系统恶性肿瘤，伴并发症或合并症
MR15 男性生殖系统恶性肿瘤，不伴并发症或合并症
MS19 男性生殖系统炎症
MZ11 其他男性生殖系统疾患，伴严重并发症或合并症
MZ13 其他男性生殖系统疾患，伴并发症或合并症
MZ15 其他男性生殖系统疾患，不伴并发症或合并症
NA19 女性生殖器官恶性肿瘤的广泛切除手术
NA29 女性生殖器官恶性肿瘤除广泛切除术以外的手术
NB19 女性生殖系统重建手术
NC19 子宫（除内膜以外）手术
ND19 附件手术
NE19 子宫内膜手术
NF19 外阴、阴道、宫颈手术
NJ19 女性生殖系统其他手术
NR11 女性生殖系统恶性肿瘤，伴严重并发症或合并症
NR13 女性生殖系统恶性肿瘤，伴并发症或合并症
NR15 女性生殖系统恶性肿瘤，不伴并发症或合并症
NZ11 女性生殖系统其他疾患，伴严重并发症或合并症
NZ13 女性生殖系统其他疾患，伴并发症或合并症
NZ15 女性生殖系统其他疾患，不伴并发症或合并症
OB19 剖宫产术
OC19 阴道分娩伴手术操作
OD19 与妊娠相关的子宫及附件手术
OD29 与妊娠相关的的外阴、阴道及宫颈手术
OE19 异位妊娠手术
OF19 中期引产手术操作
OF29 早期流产手术操作
OJ19 与妊娠、分娩有关的其他手术操作
OR19 阴道分娩
OS19 产褥期相关疾患
OS29 流产相关疾患
OT19 异位妊娠
OZ11 与妊娠有关的其他疾患，非5天内死亡或转院，伴严重并发症或合并症
OZ13 与妊娠有关的其他疾患，非5天内死亡或转院，伴并发症或合并症
OZ15 与妊娠有关的其他疾患，非5天内死亡或转院，不伴并发症或合并症
OZ17 与妊娠有关的其他疾患，5天内死亡或转院
PB19 新生儿（出生年龄＜29天）心血管手术
PC19 新生儿（出生年龄＜29天）腹部手术
PJ19 新生儿（出生年龄＜29天）的其他手术
PK19 新生儿伴呼吸机支持
PR11 新生儿呼吸窘迫综合征，伴严重并发症或合并症
PR13 新生儿呼吸窘迫综合征，伴并发症或合并症
PR15 新生儿呼吸窘迫综合征，不伴并发症或合并症
PS19 极度发育不全（出生体重＜1500g）
PT19 早产儿（出生体重1500-2499g）
PT29 早产儿（出生体重＞2499g）
PU19 足月儿
PV19 源于新生儿（29天≤出生年龄＜1周岁）诊断的婴儿疾患
QB11 脾切除术，伴严重并发症或合并症
QB15 脾切除术，不伴严重并发症或合并症
QC19 胸腺手术
QD13 血液、造血器官及免疫系统其他手术，伴并发症或合并症
QD15 血液、造血器官及免疫系统其他手术，不伴并发症或合并症
QJ19 非特指部位、组织、器官的良性肿瘤手术
QR10 网状内皮及免疫性疾患，年龄≤17岁
QR11 网状内皮及免疫性疾患，年龄＞17岁，伴严重并发症或合并症
QR13 网状内皮及免疫性疾患，年龄＞17岁，伴并发症或合并症
QR15 网状内皮及免疫性疾患，年龄＞17岁，不伴并发症或合并症
QS19 红细胞病及营养性贫血
QS20 溶血性贫血，年龄≤17岁
QS21 溶血性贫血，年龄＞17岁，伴严重并发症或合并症
QS23 溶血性贫血，年龄＞17岁，伴并发症或合并症
QS25 溶血性贫血，年龄＞17岁，不伴并发症或合并症
QS31 再生障碍性贫血，伴严重并发症或合并症
QS33 再生障碍性贫血，伴并发症或合并症
QS35 再生障碍性贫血，不伴并发症或合并症
QS49 其他贫血
QT11 凝血功能障碍，伴严重并发症或合并症
QT13 凝血功能障碍，伴并发症或合并症
QT15 凝血功能障碍，不伴并发症或合并症
RA19 淋巴瘤、白血病等伴重大手术
RA21 淋巴瘤、白血病等伴其他手术，伴严重并发症或合并症
RA23 淋巴瘤、白血病等伴其他手术，伴并发症或合并症
RA25 淋巴瘤、白血病等伴其他手术，不伴并发症或合并症
RA31 骨髓增生性疾患或低分化肿瘤等伴重大手术，伴严重并发症或合并症
RA33 骨髓增生性疾患或低分化肿瘤等伴重大手术，伴并发症或合并症
RA35 骨髓增生性疾患或低分化肿瘤等伴重大手术，不伴并发症或合并症
RA49 骨髓增生性疾患或低分化肿瘤等伴其他手术
RB19 急性白血病化学治疗和／或其他治疗
RC19 恶性增生性疾患放射治疗
RD19 恶性增生性疾患的介入和／或射频治疗
RE19 恶性增生性疾患的化学和／或靶向、生物治疗
RF19 恶性增生性疾患终末期治疗
RR11 急性白血病，伴严重并发症或合并症
RR13 急性白血病，伴并发症或合并症
RR15 急性白血病，不伴并发症或合并症
RS11 淋巴瘤及其他类型白血病，伴严重并发症或合并症
RS13 淋巴瘤及其他类型白血病，伴并发症或合并症
RS15 淋巴瘤及其他类型白血病，不伴并发症或合并症
RS21 骨髓瘤，伴严重并发症或合并症
RS23 骨髓瘤，伴并发症或合并症
RS25 骨髓瘤，不伴并发症或合并症
RT11 非特指恶性肿瘤，伴严重并发症或合并症
RT13 非特指恶性肿瘤，伴并发症或合并症
RT15 非特指恶性肿瘤，不伴并发症或合并症
RT29 非特指良性肿瘤
RU10 与化学和／或靶向、生物治疗有关的恶性增生性疾患，住院时间≤7天
RU12 与化学和／或靶向、生物治疗有关的恶性增生性疾患，7天＜住院时间≤30天
RU14 与化学和／或靶向、生物治疗有关的恶性增生性疾患，30天＜住院时间≤60天
RU29 恶性增生性疾患的免疫治疗
RV19 与放射治疗有关的恶性增生性疾患
RW10 恶性增生性疾患治疗后的随诊检查，年龄≤17岁
RW13 恶性增生性疾患治疗后的随诊检查，年龄＞17岁，伴严重并发症或合并症
RW15 恶性增生性疾患治疗后的随诊检查，年龄＞17岁，不伴并发症或合并症
RW21 恶性增生性疾患维持性治疗，伴严重并发症或合并症
RW23 恶性增生性疾患维持性治疗，伴并发症或合并症
RW25 恶性增生性疾患维持性治疗，不伴并发症或合并症
SB10 全身性感染的手术，年龄≤17岁
SB11 全身性感染的手术，年龄＞17岁，伴严重并发症或合并症
SB13 全身性感染的手术，年龄＞17岁，伴并发症或合并症
SB15 全身性感染的手术，年龄＞17岁，不伴并发症或合并症
SR10 败血症，年龄≤17岁
SR11 败血症，年龄＞17岁，伴严重并发症或合并症
SR13 败血症，年龄＞17岁，伴并发症或合并症
SR15 败血症，年龄＞17岁，不伴并发症或合并症
SS11 手术后及创伤后感染，非5天内死亡或转院，伴严重并发症或合并症
SS13 手术后及创伤后感染，非5天内死亡或转院，伴并发症或合并症
SS15 手术后及创伤后感染，非5天内死亡或转院，不伴并发症或合并症
SS17 手术后及创伤后感染，5天内死亡或转院
ST11 原因不明的发热，伴严重并发症或合并症
ST13 原因不明的发热，伴并发症或合并症
ST15 原因不明的发热，不伴并发症或合并症
SU19 病毒性疾患
SV19 细菌性疾患
SZ11 其他感染性或寄生虫性疾患，伴严重并发症或合并症
SZ13 其他感染性或寄生虫性疾患，伴并发症或合并症
SZ15 其他感染性或寄生虫性疾患，不伴并发症或合并症
TB19 精神病患者的手术
TR11 精神分裂症，伴严重并发症或合并症
TR13 精神分裂症，伴并发症或合并症
TR15 精神分裂症，不伴并发症或合并症
TR29 偏执及急性精神病
TS19 重大的情感障碍
TS29 神经症性障碍及其他情感性障碍
TT11 进食及睡眠障碍，伴严重并发症或合并症
TT13 进食及睡眠障碍，伴并发症或合并症
TT15 进食及睡眠障碍，不伴并发症或合并症
TT29 人格障碍
TU19 儿童期精神发育障碍
TV19 焦虑性障碍
TW19 器质性及症状性精神障碍
UR11 酒精中毒及戒除，伴严重并发症或合并症
UR13 酒精中毒及戒除，伴并发症或合并症
UR15 酒精中毒及戒除，不伴并发症或合并症
US19 兴奋剂滥用与依赖
VB11 损伤的皮肤移植，伴严重并发症或合并症
VB13 损伤的皮肤移植，伴并发症或合并症
VB15 损伤的皮肤移植，不伴并发症或合并症
VC11 与损伤有关的清创术，伴严重并发症或合并症
VC13 与损伤有关的清创术，伴并发症或合并症
VJ11 其他损伤的手术，非5天内死亡或转院，伴严重并发症或合并症
VJ13 其他损伤的手术，非5天内死亡或转院，伴并发症或合并症
VJ15 其他损伤的手术，非5天内死亡或转院，不伴并发症或合并症
VJ17 其他损伤的手术，5天内死亡或转院
VR11 损伤，伴严重并发症或合并症
VR13 损伤，伴并发症或合并症
VS19 过敏反应
VS21 药物中毒或毒性反应，伴严重并发症或合并症
VS23 药物中毒或毒性反应，伴并发症或合并症
VS25 药物中毒或毒性反应，不伴并发症或合并症
VT11 医疗后遗症，伴严重并发症或合并症
VT13 医疗后遗症，伴并发症或合并症
VT15 医疗后遗症，不伴并发症或合并症
VZ11 其他损伤、中毒及毒性反应疾患，伴严重并发症或合并症
VZ13 其他损伤、中毒及毒性反应疾患，伴并发症或合并症
VZ15 其他损伤、中毒及毒性反应疾患，不伴并发症或合并症
WB11 大于体表30%或多处三度烧伤伴植皮，伴严重并发症或合并症
WB13 大于体表30%或多处三度烧伤伴植皮，伴并发症或合并症
WB15 大于体表30%或多处三度烧伤伴植皮，不伴并发症或合并症
WC19 其他烧伤伴植皮
WJ13 烧伤伴除植皮之外的任何手术室手术，伴并发症或合并症
WJ15 烧伤伴除植皮之外的任何手术室手术，不伴并发症或合并症
WR13 大于体表30%或多处三度烧伤、腐蚀伤及冻伤等灼伤，伴并发症或合并症
WR15 大于体表30%或多处三度烧伤、腐蚀伤及冻伤等灼伤，不伴并发症或合并症
WZ11 其他烧伤、腐蚀伤及冻伤等灼伤，非5天内死亡或转院，伴严重并发症或合并症
WZ13 其他烧伤、腐蚀伤及冻伤等灼伤，非5天内死亡或转院，伴并发症或合并症
WZ15 其他烧伤、腐蚀伤及冻伤等灼伤，非5天内死亡或转院，不伴并发症或合并症
WZ17 其他烧伤、腐蚀伤及冻伤等灼伤，5天内死亡或转院
XJ11 其他接触健康服务的诊断伴手术室操作，伴严重并发症或合并症
XJ13 其他接触健康服务的诊断伴手术室操作，伴并发症或合并症
XJ15 其他接触健康服务的诊断伴手术室操作，不伴并发症或合并症
XR11 康复，伴严重并发症或合并症
XR13 康复，伴并发症或合并症
XR15 康复，不伴并发症或合并症
XR21 其他康复治疗，伴严重并发症或合并症
XR23 其他康复治疗，伴并发症或合并症
XR25 其他康复治疗，不伴并发症或合并症
XS10 体征及症状，年龄≤17岁
XS11 体征及症状，年龄＞17岁，伴严重并发症或合并症
XS13 体征及症状，年龄＞17岁，伴并发症或合并症
XS15 体征及症状，年龄＞17岁，不伴并发症或合并症
XS20 随访（不含恶性肿瘤诊断)，年龄≤17岁
XS21 随访（不含恶性肿瘤诊断)，年龄＞17岁，伴严重并发症或合并症
XS23 随访（不含恶性肿瘤诊断)，年龄＞17岁，伴并发症或合并症
XS25 随访（不含恶性肿瘤诊断)，年龄＞17岁，不伴并发症或合并症
XT11 其他后期照护，伴严重并发症或合并症
XT13 其他后期照护，伴并发症或合并症
XT15 其他后期照护，不伴并发症或合并症
XT29 非特指的先天畸形
XT30 其他影响健康状态的因素，年龄≤17岁
XT31 其他影响健康状态的因素，年龄＞17岁，伴严重并发症或合并症
XT33 其他影响健康状态的因素，年龄＞17岁，伴并发症或合并症
XT35 其他影响健康状态的因素，年龄＞17岁，不伴并发症或合并症
YC19 HIV相关疾患的手术室手术
YR11 HIV相关疾患，伴严重并发症或合并症
YR13 HIV相关疾患，伴并发症或合并症
YR15 HIV相关疾患，不伴并发症或合并症
YR29 HIV其他相关情况
ZB19 多发性严重创伤开颅术
ZC14 多发性严重创伤的脊柱、髋、股或肢体手术，有呼吸机治疗
ZC18 多发性严重创伤的脊柱、髋、股或肢体手术，无呼吸机治疗
ZD19 多发性重要创伤的腹腔手术
ZJ11 与多发重要创伤诊断有关的其他手术室操作，伴严重并发症或合并症
ZJ13 与多发重要创伤诊断有关的其他手术室操作，伴并发症或合并症
ZJ15 与多发重要创伤诊断有关的其他手术室操作，不伴并发症或合并症
ZZ11 多发性重要创伤无手术，非5天内死亡或转院，伴严重并发症或合并症
ZZ13 多发性重要创伤无手术，非5天内死亡或转院，伴并发症或合并症
ZZ15 多发性重要创伤无手术，非5天内死亡或转院，不伴并发症或合并症
ZZ17 多发性重要创伤无手术，5天内死亡或转院
BQY BQY歧义组
CQY CQY歧义组
DQY DQY歧义组
EQY EQY歧义组
FQY FQY歧义组
GQY GQY歧义组
HQY HQY歧义组
IQY IQY歧义组
JQY JQY歧义组
KQY KQY歧义组
LQY LQY歧义组
MQY MQY歧义组
NQY NQY歧义组
OQY OQY歧义组
PQY PQY歧义组
QQY QQY歧义组
RQY RQY歧义组
VQY VQY歧义组
ZQY ZQY歧义组
